"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"East Village","Manhattan","Private room",109,3,33
"South Ozone Park","Queens","Private room",70,1,54
"East Harlem","Manhattan","Private room",150,1,145
"Harlem","Manhattan","Entire home/apt",214,4,0
"Upper West Side","Manhattan","Private room",150,30,0
"Greenpoint","Brooklyn","Entire home/apt",350,30,5
"Flatbush","Brooklyn","Entire home/apt",180,30,2
"Prospect-Lefferts Gardens","Brooklyn","Private room",69,30,75
"Morningside Heights","Manhattan","Private room",75,30,92
"Hell's Kitchen","Manhattan","Private room",175,3,25
"Williamsburg","Brooklyn","Private room",88,3,62
"Greenpoint","Brooklyn","Private room",57,30,0
"Flushing","Queens","Entire home/apt",149,2,134
"Midtown","Manhattan","Entire home/apt",1999,3,0
"Borough Park","Brooklyn","Entire home/apt",84,6,68
"East Village","Manhattan","Entire home/apt",65,30,4
"Hell's Kitchen","Manhattan","Private room",108,30,42
"Stuyvesant Town","Manhattan","Private room",80,30,2
"East Elmhurst","Queens","Private room",60,30,1
"Flatbush","Brooklyn","Entire home/apt",165,3,3
"St. George","Staten Island","Entire home/apt",125,3,167
"Harlem","Manhattan","Private room",40,30,0
"Washington Heights","Manhattan","Private room",89,2,0
"Williamsburg","Brooklyn","Private room",135,3,194
"Greenwich Village","Manhattan","Private room",33,30,2
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",120,5,2
"Bushwick","Brooklyn","Shared room",20,5,11
"East Village","Manhattan","Private room",200,30,12
"Bushwick","Brooklyn","Private room",145,30,0
"Washington Heights","Manhattan","Shared room",656,1,18
"Flatbush","Brooklyn","Private room",80,30,3
"Washington Heights","Manhattan","Entire home/apt",139,30,3
"Harlem","Manhattan","Private room",45,30,0
"Parkchester","Bronx","Entire home/apt",159,1,91
"Lower East Side","Manhattan","Entire home/apt",264,3,45
"Hell's Kitchen","Manhattan","Private room",80,1,1
"Borough Park","Brooklyn","Private room",55,30,1
"East Village","Manhattan","Entire home/apt",175,10,15
"Astoria","Queens","Private room",69,1,9
"Morningside Heights","Manhattan","Entire home/apt",290,30,0
"Upper East Side","Manhattan","Private room",175,30,0
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",391,2,11
"Spuyten Duyvil","Bronx","Entire home/apt",129,2,78
"Bushwick","Brooklyn","Private room",31,30,94
"Bushwick","Brooklyn","Private room",80,30,14
"Harlem","Manhattan","Private room",70,30,3
"Bushwick","Brooklyn","Entire home/apt",101,1,74
"Harlem","Manhattan","Private room",65,30,1
"Kew Gardens","Queens","Private room",76,1,0
"Nolita","Manhattan","Entire home/apt",328,30,0
"Midtown","Manhattan","Private room",90,30,10
"East Harlem","Manhattan","Entire home/apt",125,30,5
"Bay Ridge","Brooklyn","Entire home/apt",125,30,1
"Clinton Hill","Brooklyn","Entire home/apt",130,5,3
"Harlem","Manhattan","Entire home/apt",233,4,11
"Williamsburg","Brooklyn","Private room",100,30,0
"Ditmars Steinway","Queens","Entire home/apt",200,30,2
"Far Rockaway","Queens","Entire home/apt",299,30,0
"East Harlem","Manhattan","Private room",45,30,101
"Inwood","Manhattan","Private room",106,30,6
"Upper East Side","Manhattan","Private room",89,30,2
"West Village","Manhattan","Entire home/apt",300,30,7
"Midtown","Manhattan","Private room",129,1,0
"Flatbush","Brooklyn","Private room",60,30,0
"Harlem","Manhattan","Private room",72,30,23
"Woodside","Queens","Entire home/apt",99,4,31
"Financial District","Manhattan","Entire home/apt",271,1,6
"Bedford-Stuyvesant","Brooklyn","Private room",38,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",70,1,4
"Morningside Heights","Manhattan","Private room",45,30,2
"Upper West Side","Manhattan","Private room",61,2,15
"Gramercy","Manhattan","Entire home/apt",109,1,0
"Hell's Kitchen","Manhattan","Entire home/apt",304,30,2
"Harlem","Manhattan","Entire home/apt",92,30,22
"Astoria","Queens","Private room",68,2,1
"Hell's Kitchen","Manhattan","Entire home/apt",199,30,0
"Williamsburg","Brooklyn","Private room",58,30,8
"Harlem","Manhattan","Private room",69,5,422
"Williamsburg","Brooklyn","Private room",90,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",175,2,15
"Brooklyn Heights","Brooklyn","Private room",80,150,1
"Upper West Side","Manhattan","Entire home/apt",165,30,5
"Bushwick","Brooklyn","Private room",50,30,0
"East Harlem","Manhattan","Entire home/apt",100,30,29
"Ridgewood","Queens","Private room",55,30,3
"Little Italy","Manhattan","Entire home/apt",130,3,43
"Clinton Hill","Brooklyn","Entire home/apt",325,30,2
"Park Slope","Brooklyn","Entire home/apt",450,6,14
"Harlem","Manhattan","Entire home/apt",69,30,7
"Astoria","Queens","Private room",48,1,125
"East New York","Brooklyn","Private room",35,30,30
"Crown Heights","Brooklyn","Private room",120,30,0
"Woodside","Queens","Private room",34,30,3
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,120,0
"Soundview","Bronx","Private room",50,30,0
"Concourse","Bronx","Private room",29,30,12
"Chelsea","Manhattan","Entire home/apt",850,30,106
"Red Hook","Brooklyn","Entire home/apt",140,14,1
"East Village","Manhattan","Private room",180,30,27
"Theater District","Manhattan","Hotel room",999,1,0
"Greenpoint","Brooklyn","Entire home/apt",261,3,22
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",96,4,0
"Bedford-Stuyvesant","Brooklyn","Private room",25,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",49,30,0
"Prospect-Lefferts Gardens","Brooklyn","Private room",50,30,0
"Hell's Kitchen","Manhattan","Private room",129,1,98
"Greenpoint","Brooklyn","Entire home/apt",160,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",117,1,94
"Lower East Side","Manhattan","Private room",110,30,0
"Longwood","Bronx","Private room",125,30,25
"Upper West Side","Manhattan","Private room",61,2,4
"Astoria","Queens","Entire home/apt",135,3,6
"Midtown","Manhattan","Private room",166,1,15
"Financial District","Manhattan","Private room",194,1,2
"Bushwick","Brooklyn","Private room",35,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",81,2,76
"Williamsburg","Brooklyn","Entire home/apt",150,30,0
"Harlem","Manhattan","Private room",50,15,0
"Hell's Kitchen","Manhattan","Private room",48,1,209
"Brownsville","Brooklyn","Entire home/apt",500,30,0
"Woodside","Queens","Private room",56,30,2
"Bushwick","Brooklyn","Private room",70,30,6
"Upper East Side","Manhattan","Entire home/apt",110,30,2
"Long Island City","Queens","Private room",65,30,11
"Lower East Side","Manhattan","Entire home/apt",240,4,5
"Gravesend","Brooklyn","Entire home/apt",180,30,0
"Ridgewood","Queens","Private room",60,30,148
"Midtown","Manhattan","Hotel room",180,30,1
"East Village","Manhattan","Entire home/apt",156,28,2
"Flatbush","Brooklyn","Entire home/apt",75,30,1
"Washington Heights","Manhattan","Entire home/apt",175,30,0
"Park Slope","Brooklyn","Entire home/apt",145,30,17
"East Harlem","Manhattan","Private room",45,30,4
"Hell's Kitchen","Manhattan","Private room",149,1,7
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",100,2,87
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",200,30,1
"Flushing","Queens","Entire home/apt",135,3,43
"Crown Heights","Brooklyn","Entire home/apt",360,5,0
"Washington Heights","Manhattan","Entire home/apt",96,30,43
"Upper West Side","Manhattan","Entire home/apt",100,30,4
"Williamsburg","Brooklyn","Entire home/apt",185,30,6
"Chelsea","Manhattan","Entire home/apt",530,30,0
"Bushwick","Brooklyn","Private room",52,3,15
"Park Slope","Brooklyn","Private room",49,30,2
"Midtown","Manhattan","Entire home/apt",300,30,0
"Gramercy","Manhattan","Private room",135,30,138
"Chelsea","Manhattan","Shared room",356,30,0
"Chelsea","Manhattan","Private room",86,2,60
"Crown Heights","Brooklyn","Private room",120,3,5
"Woodside","Queens","Private room",72,30,3
"Bushwick","Brooklyn","Private room",52,6,0
"Hell's Kitchen","Manhattan","Entire home/apt",200,30,29
"Roosevelt Island","Manhattan","Private room",117,5,1
"Richmond Hill","Queens","Private room",120,30,0
"Theater District","Manhattan","Entire home/apt",279,30,0
"Crown Heights","Brooklyn","Private room",53,1,20
"Theater District","Manhattan","Hotel room",518,1,0
"East Flatbush","Brooklyn","Private room",50,35,1
"Upper East Side","Manhattan","Entire home/apt",175,30,2
"Bushwick","Brooklyn","Private room",35,30,0
"Fort Greene","Brooklyn","Entire home/apt",223,30,5
"Bushwick","Brooklyn","Private room",48,30,2
"Nolita","Manhattan","Private room",110,1,1
"Cobble Hill","Brooklyn","Entire home/apt",100,31,2
"Chinatown","Manhattan","Entire home/apt",93,3,6
"Upper East Side","Manhattan","Entire home/apt",79,30,0
"Williamsburg","Brooklyn","Entire home/apt",108,30,14
"Astoria","Queens","Private room",60,30,91
"Bedford-Stuyvesant","Brooklyn","Private room",144,1,0
"Bushwick","Brooklyn","Private room",22,3,0
"Jamaica","Queens","Private room",80,2,26
"Jamaica","Queens","Private room",60,1,72
"Prospect Heights","Brooklyn","Entire home/apt",190,3,164
"Upper West Side","Manhattan","Private room",142,5,14
"Hell's Kitchen","Manhattan","Entire home/apt",375,30,1
"East Village","Manhattan","Private room",104,2,207
"Fort Greene","Brooklyn","Entire home/apt",150,30,24
"Upper West Side","Manhattan","Entire home/apt",279,15,4
"Randall Manor","Staten Island","Entire home/apt",115,7,41
"Midtown","Manhattan","Private room",115,1,5
"Harlem","Manhattan","Entire home/apt",120,25,11
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",130,15,8
"Upper East Side","Manhattan","Entire home/apt",109,30,10
"Financial District","Manhattan","Entire home/apt",170,30,0
"West Village","Manhattan","Entire home/apt",300,30,118
"Ridgewood","Queens","Private room",40,2,20
"Crown Heights","Brooklyn","Private room",50,1,1
"Clinton Hill","Brooklyn","Private room",149,30,4
"Astoria","Queens","Private room",37,30,108
"Park Slope","Brooklyn","Entire home/apt",125,30,8
"Jackson Heights","Queens","Entire home/apt",156,30,2
"Jackson Heights","Queens","Private room",150,30,0
"Upper West Side","Manhattan","Entire home/apt",50,30,0
"Upper West Side","Manhattan","Private room",152,1,23
"Harlem","Manhattan","Shared room",29,2,107
"Bedford-Stuyvesant","Brooklyn","Private room",53,1,3
"Ditmars Steinway","Queens","Private room",35,1,118
"Fordham","Bronx","Private room",40,4,79
"Battery Park City","Manhattan","Entire home/apt",165,30,4
"Astoria","Queens","Private room",69,1,0
"Flatbush","Brooklyn","Entire home/apt",96,30,94
"East Village","Manhattan","Private room",100,30,0
"Financial District","Manhattan","Entire home/apt",225,30,0
"Crown Heights","Brooklyn","Entire home/apt",130,4,6
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,3
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",120,30,1
"Harlem","Manhattan","Private room",45,7,0
"Greenwich Village","Manhattan","Entire home/apt",339,30,14
"Bedford-Stuyvesant","Brooklyn","Private room",338,1,27
"Inwood","Manhattan","Private room",45,30,4
"Financial District","Manhattan","Entire home/apt",306,2,7
"East New York","Brooklyn","Private room",100,1,0
"Nolita","Manhattan","Entire home/apt",130,15,6
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",85,30,4
"Lower East Side","Manhattan","Entire home/apt",100,30,1
"Astoria","Queens","Private room",50,30,2
"Chelsea","Manhattan","Entire home/apt",125,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",185,30,0
"Throgs Neck","Bronx","Private room",50,1,10
"Greenpoint","Brooklyn","Private room",79,30,3
"Tribeca","Manhattan","Private room",127,30,2
"Hell's Kitchen","Manhattan","Entire home/apt",150,7,0
"Hell's Kitchen","Manhattan","Entire home/apt",150,30,1
"Chelsea","Manhattan","Entire home/apt",275,90,0
"Upper East Side","Manhattan","Entire home/apt",115,30,1
"Bushwick","Brooklyn","Private room",100,2,3
"Williamsburg","Brooklyn","Private room",90,30,41
"Bushwick","Brooklyn","Private room",82,30,114
"Flatbush","Brooklyn","Private room",38,7,70
"Bedford-Stuyvesant","Brooklyn","Private room",45,30,2
"SoHo","Manhattan","Entire home/apt",225,30,1
"Murray Hill","Manhattan","Entire home/apt",150,30,7
"Upper West Side","Manhattan","Entire home/apt",158,2,0
"Bushwick","Brooklyn","Shared room",30,5,0
"Crown Heights","Brooklyn","Entire home/apt",70,30,25
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",307,5,19
"Morningside Heights","Manhattan","Private room",47,2,4
"Williamsburg","Brooklyn","Private room",73,30,0
"Upper East Side","Manhattan","Entire home/apt",250,30,123
"Flatbush","Brooklyn","Private room",60,30,4
"Williamsburg","Brooklyn","Entire home/apt",105,30,61
"Williamsburg","Brooklyn","Entire home/apt",286,30,61
"Greenpoint","Brooklyn","Entire home/apt",205,30,11
"Hell's Kitchen","Manhattan","Entire home/apt",115,30,0
"Bushwick","Brooklyn","Private room",38,30,8
"Sunset Park","Brooklyn","Entire home/apt",157,3,55
"Murray Hill","Manhattan","Shared room",34,3,146
"Gowanus","Brooklyn","Entire home/apt",178,30,12
"Bushwick","Brooklyn","Private room",120,2,1
"Prospect Heights","Brooklyn","Entire home/apt",155,30,42
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",160,30,9
"Williamsburg","Brooklyn","Private room",190,30,0
"Harlem","Manhattan","Entire home/apt",115,30,1
"Midtown","Manhattan","Entire home/apt",295,5,16
"Midtown","Manhattan","Entire home/apt",599,2,1
"Financial District","Manhattan","Private room",163,1,12
"Greenpoint","Brooklyn","Private room",150,30,0
"Flatbush","Brooklyn","Shared room",64,30,5
"Bushwick","Brooklyn","Private room",140,3,0
"Fort Greene","Brooklyn","Entire home/apt",150,10,13
"Crown Heights","Brooklyn","Private room",80,1,316
"Maspeth","Queens","Private room",75,30,13
"Upper West Side","Manhattan","Entire home/apt",110,30,8
"Gowanus","Brooklyn","Entire home/apt",240,2,22
"Kingsbridge","Bronx","Private room",150,30,0
"Financial District","Manhattan","Private room",72,150,0
"Kips Bay","Manhattan","Private room",78,30,43
"Sunset Park","Brooklyn","Private room",65,1,14
"East Village","Manhattan","Entire home/apt",506,1,51
"Kensington","Brooklyn","Entire home/apt",99,30,0
"Crown Heights","Brooklyn","Private room",60,30,12
"East Village","Manhattan","Private room",85,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,17
"Harlem","Manhattan","Private room",1000,30,0
"Williamsburg","Brooklyn","Entire home/apt",500,30,135
"Bedford-Stuyvesant","Brooklyn","Private room",54,30,45
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",129,30,140
"Greenpoint","Brooklyn","Entire home/apt",159,30,3
"Ridgewood","Queens","Private room",60,30,0
"Williamsburg","Brooklyn","Entire home/apt",120,30,21
"Harlem","Manhattan","Private room",42,30,0
"Upper East Side","Manhattan","Entire home/apt",110,31,6
"Bedford-Stuyvesant","Brooklyn","Private room",35,5,3
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",61,1,2
"Hell's Kitchen","Manhattan","Entire home/apt",169,365,0
"Crown Heights","Brooklyn","Entire home/apt",65,90,4
"Upper East Side","Manhattan","Private room",100,30,86
"Ridgewood","Queens","Private room",52,7,6
"Upper West Side","Manhattan","Entire home/apt",250,30,0
"Clifton","Staten Island","Private room",300,30,0
"East Harlem","Manhattan","Private room",65,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",116,2,155
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",154,3,40
"Bellerose","Queens","Private room",75,1,58
"Williamsburg","Brooklyn","Entire home/apt",168,30,0
"Ditmars Steinway","Queens","Entire home/apt",180,30,0
"East Harlem","Manhattan","Entire home/apt",122,3,0
"Ridgewood","Queens","Private room",80,2,5
"Park Slope","Brooklyn","Entire home/apt",200,3,2
"Astoria","Queens","Private room",58,30,3
"Bushwick","Brooklyn","Private room",29,90,1
"Crown Heights","Brooklyn","Entire home/apt",98,3,226
"Theater District","Manhattan","Private room",400,30,0
"Battery Park City","Manhattan","Entire home/apt",433,180,0
"Parkchester","Bronx","Private room",46,2,103
"Gowanus","Brooklyn","Entire home/apt",250,30,10
"Gowanus","Brooklyn","Entire home/apt",295,30,5
"Upper West Side","Manhattan","Entire home/apt",125,30,8
"Crown Heights","Brooklyn","Private room",52,30,1
"Bath Beach","Brooklyn","Private room",50,14,49
"Bushwick","Brooklyn","Private room",65,30,129
"Williamsburg","Brooklyn","Private room",70,2,80
"Upper West Side","Manhattan","Shared room",80,3,118
"Harlem","Manhattan","Entire home/apt",140,14,23
"Chelsea","Manhattan","Entire home/apt",841,1,0
"Lower East Side","Manhattan","Private room",80,30,3
"Bay Ridge","Brooklyn","Private room",85,30,1
"Lower East Side","Manhattan","Private room",100,30,14
"East Village","Manhattan","Private room",99,30,111
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,34
"Theater District","Manhattan","Entire home/apt",255,30,0
"Chelsea","Manhattan","Entire home/apt",295,30,1
"Crown Heights","Brooklyn","Entire home/apt",182,30,15
"Harlem","Manhattan","Private room",52,30,0
"East Village","Manhattan","Entire home/apt",199,30,1
"East Village","Manhattan","Entire home/apt",200,30,0
"Upper East Side","Manhattan","Entire home/apt",3600,31,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",85,30,4
"Hell's Kitchen","Manhattan","Entire home/apt",110,30,0
"Upper West Side","Manhattan","Entire home/apt",125,30,1
"Fort Greene","Brooklyn","Entire home/apt",470,2,158
"Park Slope","Brooklyn","Entire home/apt",125,2,69
"Harlem","Manhattan","Private room",40,6,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",99,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",200,30,1
"Midland Beach","Staten Island","Entire home/apt",125,2,53
"East Village","Manhattan","Entire home/apt",100,30,1
"Upper East Side","Manhattan","Entire home/apt",199,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,7,5
"Randall Manor","Staten Island","Private room",800,60,0
"Park Slope","Brooklyn","Entire home/apt",165,2,23
"West Village","Manhattan","Entire home/apt",275,3,48
"Bedford-Stuyvesant","Brooklyn","Private room",48,30,0
"Bushwick","Brooklyn","Private room",43,35,1
"Clinton Hill","Brooklyn","Private room",45,6,0
"Brighton Beach","Brooklyn","Private room",45,2,74
"Greenwich Village","Manhattan","Entire home/apt",175,30,3
"Canarsie","Brooklyn","Private room",100,30,0
"Crown Heights","Brooklyn","Private room",85,3,7
"Forest Hills","Queens","Private room",109,1,122
"Battery Park City","Manhattan","Entire home/apt",120,4,9
"Upper West Side","Manhattan","Entire home/apt",150,238,0
"East Elmhurst","Queens","Entire home/apt",101,2,40
"Crown Heights","Brooklyn","Entire home/apt",125,30,0
"Ozone Park","Queens","Private room",48,30,8
"Elmhurst","Queens","Private room",35,30,0
"Maspeth","Queens","Entire home/apt",207,2,53
"Bushwick","Brooklyn","Private room",55,5,3
"Greenpoint","Brooklyn","Private room",51,30,0
"Cobble Hill","Brooklyn","Entire home/apt",185,30,41
"Sunset Park","Brooklyn","Entire home/apt",630,30,15
"Park Slope","Brooklyn","Private room",34,3,2
"Williamsburg","Brooklyn","Private room",75,1,2
"Inwood","Manhattan","Private room",105,3,0
"Hell's Kitchen","Manhattan","Entire home/apt",500,30,0
"Williamsburg","Brooklyn","Entire home/apt",133,30,8
"Prospect-Lefferts Gardens","Brooklyn","Private room",65,7,82
"Bushwick","Brooklyn","Entire home/apt",200,30,56
"Upper West Side","Manhattan","Entire home/apt",70,30,1
"Baychester","Bronx","Entire home/apt",79,4,102
"Midwood","Brooklyn","Private room",28,90,0
"Flatbush","Brooklyn","Entire home/apt",150,30,127
"Tribeca","Manhattan","Private room",42,30,0
"Crown Heights","Brooklyn","Entire home/apt",100,30,1
"Fort Greene","Brooklyn","Entire home/apt",135,25,1
"Kips Bay","Manhattan","Private room",99,2,13
"Rego Park","Queens","Private room",75,2,1
"Long Island City","Queens","Private room",35,20,11
"Williamsburg","Brooklyn","Private room",85,14,3
"Clinton Hill","Brooklyn","Private room",89,1,29
"Long Island City","Queens","Private room",70,1,2
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",93,3,82
"Woodside","Queens","Private room",36,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",50,30,8
"East Harlem","Manhattan","Entire home/apt",115,1,172
"Ridgewood","Queens","Private room",47,35,0
"Kips Bay","Manhattan","Entire home/apt",300,30,0
"Chelsea","Manhattan","Entire home/apt",270,30,0
"Sunnyside","Queens","Shared room",28,30,3
"Bushwick","Brooklyn","Entire home/apt",115,30,0
"East Harlem","Manhattan","Entire home/apt",60,30,8
"Upper West Side","Manhattan","Entire home/apt",259,3,8
"Rego Park","Queens","Entire home/apt",190,30,0
"Crown Heights","Brooklyn","Entire home/apt",130,3,6
"Jamaica","Queens","Private room",55,2,46
"East Village","Manhattan","Private room",60,30,14
"Bushwick","Brooklyn","Private room",30,30,0
"Upper East Side","Manhattan","Entire home/apt",219,30,5
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",135,30,268
"Washington Heights","Manhattan","Private room",69,5,0
"Tompkinsville","Staten Island","Private room",65,7,1
"Lower East Side","Manhattan","Hotel room",180,1,22
"Fort Greene","Brooklyn","Entire home/apt",142,14,7
"Upper West Side","Manhattan","Private room",55,30,0
"Harlem","Manhattan","Entire home/apt",183,30,56
"Harlem","Manhattan","Entire home/apt",55,30,1
"Bushwick","Brooklyn","Private room",95,5,40
"East Village","Manhattan","Private room",53,30,0
"Greenpoint","Brooklyn","Private room",45,14,13
"Prospect Heights","Brooklyn","Entire home/apt",125,3,118
"Washington Heights","Manhattan","Private room",40,2,127
"Clinton Hill","Brooklyn","Private room",65,30,6
"Sheepshead Bay","Brooklyn","Private room",53,4,69
"East Village","Manhattan","Entire home/apt",200,30,28
"Sunnyside","Queens","Private room",45,30,7
"Financial District","Manhattan","Private room",200,1,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",229,2,132
"University Heights","Bronx","Entire home/apt",110,30,0
"Morris Park","Bronx","Entire home/apt",300,30,1
"Chinatown","Manhattan","Private room",100,30,10
"Hell's Kitchen","Manhattan","Entire home/apt",185,30,10
"Hell's Kitchen","Manhattan","Private room",150,30,1
"Washington Heights","Manhattan","Private room",55,30,18
"East Village","Manhattan","Entire home/apt",150,30,5
"Sunset Park","Brooklyn","Private room",48,30,11
"Maspeth","Queens","Private room",60,30,12
"Tribeca","Manhattan","Entire home/apt",300,14,2
"Greenpoint","Brooklyn","Entire home/apt",214,30,1
"Williamsburg","Brooklyn","Entire home/apt",119,2,5
"Nolita","Manhattan","Entire home/apt",150,30,1
"Lower East Side","Manhattan","Private room",59,30,0
"East Village","Manhattan","Entire home/apt",257,30,9
"Crown Heights","Brooklyn","Entire home/apt",61,30,7
"East Elmhurst","Queens","Entire home/apt",188,3,1
"Park Slope","Brooklyn","Entire home/apt",170,30,9
"Midtown","Manhattan","Private room",90,1,0
"Sea Gate","Brooklyn","Private room",97,30,2
"Upper East Side","Manhattan","Entire home/apt",200,30,8
"Tribeca","Manhattan","Private room",280,30,1
"Astoria","Queens","Entire home/apt",122,4,87
"Williamsburg","Brooklyn","Entire home/apt",171,28,4
"Greenpoint","Brooklyn","Entire home/apt",219,2,16
"Upper East Side","Manhattan","Shared room",80,30,0
"Bushwick","Brooklyn","Private room",55,30,10
"Clinton Hill","Brooklyn","Entire home/apt",129,84,8
"Upper East Side","Manhattan","Entire home/apt",100,30,1
"East Flatbush","Brooklyn","Entire home/apt",115,3,118
"Astoria","Queens","Private room",62,30,30
"Astoria","Queens","Shared room",39,30,176
"Forest Hills","Queens","Private room",60,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",275,3,14
"Springfield Gardens","Queens","Private room",38,30,0
"Bushwick","Brooklyn","Private room",40,5,2
"Upper West Side","Manhattan","Entire home/apt",399,30,0
"Greenpoint","Brooklyn","Private room",70,30,1
"Williamsburg","Brooklyn","Entire home/apt",102,30,158
"East Village","Manhattan","Entire home/apt",114,30,154
"Williamsburg","Brooklyn","Entire home/apt",200,2,71
"Flushing","Queens","Private room",320,6,23
"Washington Heights","Manhattan","Private room",98,1,21
"East Harlem","Manhattan","Private room",100,5,0
"Upper West Side","Manhattan","Entire home/apt",199,30,24
"Bay Ridge","Brooklyn","Entire home/apt",218,1,6
"Williamsburg","Brooklyn","Private room",200,4,7
"Little Italy","Manhattan","Entire home/apt",130,30,1
"Prospect-Lefferts Gardens","Brooklyn","Private room",110,30,11
"Hell's Kitchen","Manhattan","Private room",169,1,6
"West Village","Manhattan","Entire home/apt",179,30,10
"Flatbush","Brooklyn","Private room",27,90,0
"Bushwick","Brooklyn","Private room",60,30,6
"Long Island City","Queens","Entire home/apt",103,1,7
"Cypress Hills","Brooklyn","Private room",85,3,12
"Fort Greene","Brooklyn","Entire home/apt",100,30,13
"Forest Hills","Queens","Entire home/apt",175,4,29
"Upper West Side","Manhattan","Entire home/apt",500,6,2
"Park Slope","Brooklyn","Private room",105,30,113
"East Village","Manhattan","Entire home/apt",100,50,0
"Fresh Meadows","Queens","Entire home/apt",100,7,17
"Midtown","Manhattan","Entire home/apt",275,30,4
"Crown Heights","Brooklyn","Private room",60,1,4
"Astoria","Queens","Entire home/apt",370,2,59
"Greenpoint","Brooklyn","Private room",65,30,7
"Financial District","Manhattan","Entire home/apt",167,30,3
"Jamaica","Queens","Entire home/apt",135,1,134
"Harlem","Manhattan","Entire home/apt",220,5,1
"Bushwick","Brooklyn","Private room",50,30,0
"Jackson Heights","Queens","Private room",100,30,39
"Belmont","Bronx","Private room",200,30,1
"Williamsburg","Brooklyn","Private room",75,30,0
"Cambria Heights","Queens","Entire home/apt",65,2,4
"Greenwich Village","Manhattan","Private room",210,30,1
"Upper West Side","Manhattan","Private room",58,30,2
"East New York","Brooklyn","Private room",55,3,49
"Greenpoint","Brooklyn","Private room",70,2,55
"Bedford-Stuyvesant","Brooklyn","Private room",18,1,22
"Williamsburg","Brooklyn","Private room",220,2,6
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",85,30,9
"Washington Heights","Manhattan","Private room",44,30,8
"Long Island City","Queens","Private room",65,30,2
"Bedford-Stuyvesant","Brooklyn","Private room",60,30,1
"Woodside","Queens","Private room",49,30,7
"West Village","Manhattan","Entire home/apt",450,30,0
"Harlem","Manhattan","Private room",550,30,0
"Upper West Side","Manhattan","Entire home/apt",347,30,0
"Port Morris","Bronx","Entire home/apt",229,30,0
"Park Slope","Brooklyn","Entire home/apt",155,5,23
"Hell's Kitchen","Manhattan","Entire home/apt",295,30,0
"Midtown","Manhattan","Private room",54,1,0
"Kips Bay","Manhattan","Entire home/apt",127,30,0
"Washington Heights","Manhattan","Entire home/apt",1000,30,1
"East Harlem","Manhattan","Entire home/apt",89,15,0
"East Harlem","Manhattan","Entire home/apt",165,30,0
"Williamsburg","Brooklyn","Entire home/apt",175,30,1
"Midtown","Manhattan","Entire home/apt",186,30,1
"Crown Heights","Brooklyn","Private room",60,30,5
"Williamsburg","Brooklyn","Private room",100,2,24
"Harlem","Manhattan","Private room",175,30,0
"SoHo","Manhattan","Entire home/apt",300,30,5
"Bedford-Stuyvesant","Brooklyn","Private room",70,5,19
"Kips Bay","Manhattan","Entire home/apt",980,30,0
"East New York","Brooklyn","Private room",50,30,42
"Murray Hill","Manhattan","Entire home/apt",700,5,35
"Kips Bay","Manhattan","Entire home/apt",159,30,13
"Wakefield","Bronx","Private room",50,2,80
"Bedford-Stuyvesant","Brooklyn","Private room",40,30,2
"Washington Heights","Manhattan","Shared room",35,1,1
"Crown Heights","Brooklyn","Entire home/apt",104,30,49
"Harlem","Manhattan","Entire home/apt",165,30,34
"Sunset Park","Brooklyn","Private room",40,30,2
"East Flatbush","Brooklyn","Private room",30,30,9
"Hell's Kitchen","Manhattan","Private room",150,30,0
"Hell's Kitchen","Manhattan","Private room",65,1,4
